"","date(Time)","Temp","Prec","EV","DP"
"1",2000-01-01,5.27093491783343,0.0017252397076876,-0.0935239809056942,1.40346075386386
"2",2000-01-02,4.98671422604873,0.0172523970768806,-0.052279885527169,1.67874771239904
"3",2000-01-03,5.32398421721432,0.0025878595615314,-0.0638693651584662,1.49180520166759
"4",2000-01-04,5.25098014440642,0,-0.0818233312059912,-0.382885275575442
"5",2000-01-05,7.48191073916541,0.0025878595615314,-0.148942260005949,4.35723118518701
"6",2000-01-06,7.28221591811331,0.0025878595615314,-0.0608399807944101,4.60619129407951
"7",2000-01-07,6.8321140221647,0.0828115059690234,-0.0614514161706415,4.69239167157992
"8",2000-01-08,7.28357238510302,0.727188536790468,-0.0301292493973277,4.65254405206535
"9",2000-01-09,6.70431195156746,0.565878624121644,-0.00650560986111065,3.92828585491461
"10",2000-01-10,7.01291636321546,0.0966134236305288,-0.0550591372373123,3.94045017214564
"11",2000-01-11,6.84713321690622,0.250159757614753,-0.072929725733533,3.26476173084541
"12",2000-01-12,6.83271871226853,0.88159749062854,-0.0682049978262896,3.3056740927555
"13",2000-01-13,4.87123475918939,2.27300331487887,-0.0133981541022656,0.590158004320566
"14",2000-01-14,4.95209980334733,0.0034504794153752,-0.119287644258722,-0.497046080092498
"15",2000-01-15,6.5699400047068,1.92968061304896,-0.154723103563047,2.56755965895073
"16",2000-01-16,5.89401086943435,2.95533561926944,-0.0424413344732621,2.7659080402753
"17",2000-01-17,5.52217548449469,0.0120766779538132,-0.0421078242680449,1.64022737450079
"18",2000-01-18,7.28355604212724,0,-0.141827375627983,3.18793983773294
"19",2000-01-19,7.50529753750615,0.000862619853843801,-0.0837132223688885,2.00438385928133
"20",2000-01-20,6.95455559670617,0.121629399392004,-0.175261773701006,2.16952102917299
"21",2000-01-21,7.32451153943115,0,-0.189658297559547,2.73075695571083
"22",2000-01-22,7.1334621525665,0.0025878595615314,-0.140132032084796,2.72961928575397
"23",2000-01-23,5.03811288487587,0.720287577959717,-0.115452276898724,-1.96784913713856
"24",2000-01-24,4.96117015490506,0.131980837638125,-0.138214348404797,-2.58833141450663
"25",2000-01-25,3.05270281525526,0.315718866506891,-0.172927202264485,-2.69133430213911
"26",2000-01-26,2.98051589123633,1.1084665121895,-0.284069478153112,-2.583824491216
"27",2000-01-27,4.81656750520631,0,-0.183960831553754,0.600149080223739
"28",2000-01-28,5.78601648548212,0.0163897772230368,-0.168146889323039,1.20115969871482
"29",2000-01-29,7.20806783700082,0.0232907360537826,-0.150832151168847,2.24907041307947
"30",2000-01-30,7.51067437653768,0.112140580999717,-0.1499149981045,4.09123519796617
"31",2000-01-31,8.21982878157025,0.0025878595615314,-0.156779749828553,6.05200936861149
"32",2000-02-01,8.39873533743059,0.176837070038016,-0.0906057666100437,7.31158503700085
